葡语单词,中文释义,词性,例句（葡语）,例句翻译,等级
obrigado,谢谢,interjeição,Muito obrigado pela ajuda.,非常感谢你的帮助。,A1
bom dia,早上好,frase,Bom dia como você está?,早上好，你好吗？,A1
por favor,请,frase,Um café por favor.,请给我一杯咖啡。,A1
desculpa,对不起,substantivo,Desculpa pelo atraso.,抱歉迟到了。,A1
amigo,朋友,substantivo masculino,Ele é meu melhor amigo.,他是我最好的朋友。,A1
comer,吃,verbo,Vamos comer juntos?,我们一起吃饭吧？,A1
beber,喝,verbo,Quero beber água.,我想喝水。,A1
grande,大的,adjetivo,É uma cidade grande.,这是一个大城市。,A1
pequeno,小的,adjetivo,Tenho um carro pequeno.,我有一辆小车。,A1
bonito,漂亮的,adjetivo,Que lugar bonito!,多漂亮的地方啊！,A1
trabalhar,工作,verbo,Ela trabalha no hospital.,她在医院工作。,A2
entender,理解,verbo,Não entendo português.,我不懂葡萄牙语。,A2
coração,心,substantivo masculino,Meu coração está feliz.,我的心是快乐的。,A2
janela,窗户,substantivo feminino,Abre a janela por favor.,请打开窗户。,A2
cachorro,狗,substantivo masculino,O cachorro é muito fofo.,这只狗很可爱。,A2
